text,label
"My pizza has been late for over an hour, what is the status?","Delivery delay"
"The app says delivered, but I never received my food.","Order not delivered"
"The driver was rude and just left the food on the ground.","Problem with delivery person"
"Where is my order? It should have arrived 30 minutes ago.","Delivery delay"
"I ordered a combo meal but the drink was missing.","Incomplete order"
"This isn't what I paid for. I got a salad instead of a burger.","Wrong order"
"The box was crushed and the soup spilled everywhere.","Damaged food/packaging"
"The food arrived completely cold, it's inedible.","Cold/spoiled food"
"There are nuts in this dish and the menu didn't say so! I'm allergic.","Undeclared allergens"
"I ordered a vegan pizza and I think this has real cheese.","Undeclared diet type"
"My credit card payment failed but I was still charged. The app showed an error.","Website problem"
"I can't log in to my account, it keeps saying wrong password.","Website problem"
"The fries were missing from my order #1234.","Incomplete order"
"Why is my delivery taking so long?","Delivery delay"
"My order is 45 minutes late and I need it for a meeting.","Delivery delay"
"The delivery should have been here an hour ago.","Delivery delay"
"I've been waiting 2 hours for my food delivery.","Delivery delay"
"The estimated delivery time has passed by 30 minutes.","Delivery delay"
"My food is extremely late, when will it arrive?","Delivery delay"
"The delivery is taking much longer than expected.","Delivery delay"
"I ordered at 6 PM and it's now 8 PM, where's my order?","Delivery delay"
"The app shows my order is delayed, how much longer?","Delivery delay"
"My lunch delivery is very late and I'm back to work soon.","Delivery delay"
"The driver said 10 more minutes but that was 40 minutes ago.","Delivery delay"
"Food delivery is running behind schedule significantly.","Delivery delay"
"I'm still waiting for my order that was supposed to arrive at 7.","Delivery delay"
"The delivery time keeps getting pushed back.","Delivery delay"
"My dinner is very late, I ordered 2 hours ago.","Delivery delay"
"The estimated delivery keeps changing and getting later.","Delivery delay"
"I need my order urgently but it's already 1 hour late.","Delivery delay"
"The delivery window has passed and no food yet.","Delivery delay"
"My order was promised in 30 minutes but it's been over an hour.","Delivery delay"
"The food delivery is extremely delayed today.","Delivery delay"
"I've been tracking my order and it's been stuck for hours.","Delivery delay"
"The app marked my order as delivered but I never got it.","Order not delivered"
"I never received my food order but was charged.","Order not delivered"
"The driver claimed he delivered but nobody came to my door.","Order not delivered"
"My order shows delivered but there's no food here.","Order not delivered"
"I didn't receive my delivery despite payment being taken.","Order not delivered"
"The order was marked complete but I have no food.","Order not delivered"
"Delivery confirmation came but no driver showed up.","Order not delivered"
"I was charged for food that never arrived.","Order not delivered"
"The driver supposedly delivered but I was home and saw nobody.","Order not delivered"
"My food order is missing, marked delivered but not here.","Order not delivered"
"I never got my delivery despite the app saying it's completed.","Order not delivered"
"The food was supposedly left at my door but nothing is there.","Order not delivered"
"Delivery marked as successful but no food was delivered.","Order not delivered"
"I'm missing my entire order that shows as delivered.","Order not delivered"
"The tracking says delivered but I received nothing.","Order not delivered"
"My order never showed up even though I got delivery notification.","Order not delivered"
"Food was supposedly delivered to my address but I didn't get it.","Order not delivered"
"The delivery status is complete but no food arrived.","Order not delivered"
"I was home all day but never received my marked-delivered order.","Order not delivered"
"The order is showing delivered but my family didn't receive anything.","Order not delivered"
"Despite delivery confirmation, no food was actually delivered.","Order not delivered"
"My order tracking shows delivered but there's nothing here.","Order not delivered"
"I got a delivery notification but no actual food delivery.","Order not delivered"
"The app says my food was delivered but it definitely wasn't.","Order not delivered"
"My side dishes are missing from the order.","Incomplete order"
"The dessert I paid for isn't in the bag.","Incomplete order"
"I'm missing half of my order, only got the main dish.","Incomplete order"
"My drinks were not included in the delivery.","Incomplete order"
"The appetizer is missing from my complete meal order.","Incomplete order"
"I ordered 3 items but only received 2.","Incomplete order"
"My sauce packets are missing from the order.","Incomplete order"
"The bread that comes with my meal wasn't delivered.","Incomplete order"
"I'm missing my soup from the combo order.","Incomplete order"
"My salad is missing from the family meal deal.","Incomplete order"
"The utensils and napkins are missing from my order.","Incomplete order"
"I paid for extra cheese but it's not on my pizza.","Incomplete order"
"My order is incomplete, missing several items I paid for.","Incomplete order"
"The complete meal only has the main course, no sides.","Incomplete order"
"I ordered a 2-person meal but only got food for 1.","Incomplete order"
"My beverage order is missing from the food delivery.","Incomplete order"
"The condiments I ordered are not in the bag.","Incomplete order"
"Part of my family pack order didn't arrive.","Incomplete order"
"I'm short one burger from my order of 3.","Incomplete order"
"The garlic bread that should come with pasta is missing.","Incomplete order"
"My add-on items are missing from the main order.","Incomplete order"
"I ordered a combo but only got the burger, no fries or drink.","Incomplete order"
"The second pizza from my 2-pizza order is missing.","Incomplete order"
"My order for 4 people only has 3 meals.","Incomplete order"
"I received a completely different order than what I requested.","Wrong order"
"This isn't my food, someone else's order was delivered.","Wrong order"
"I ordered chicken but received fish instead.","Wrong order"
"This is the wrong pizza, I ordered pepperoni not mushrooms.","Wrong order"
"The restaurant sent me a different meal entirely.","Wrong order"
"I got someone else's order with a different name on it.","Wrong order"
"This is not what I ordered, completely wrong items.","Wrong order"
"I ordered Chinese food but received Italian food.","Wrong order"
"The wrong size meal was delivered, I ordered large not small.","Wrong order"
"This burger has ingredients I specifically didn't order.","Wrong order"
"I received a meat dish but I ordered vegetarian.","Wrong order"
"The flavor of ice cream is wrong, I ordered chocolate not vanilla.","Wrong order"
"This isn't my pizza order, different toppings and size.","Wrong order"
"I got a salad when I ordered a sandwich.","Wrong order"
"The wrong type of pasta was delivered.","Wrong order"
"This is a breakfast order but I ordered dinner items.","Wrong order"
"I received spicy food but ordered mild.","Wrong order"
"The wrong bread type on my sandwich order.","Wrong order"
"This appears to be someone else's custom order.","Wrong order"
"I ordered beef but got chicken instead.","Wrong order"
"The pizza has wrong toppings, not what I selected.","Wrong order"
"This is a different cuisine than what I ordered.","Wrong order"
"I got a kids meal instead of adult portion.","Wrong order"
"The wrong drink was delivered with my meal.","Wrong order"
"This order doesn't match my receipt at all.","Wrong order"
"I ordered hot food but got cold sandwiches instead.","Wrong order"
"The sauce on my dish is wrong, not what I requested.","Wrong order"
"This is clearly meant for someone else.","Wrong order"
"I ordered delivery but got someone else's takeout order.","Wrong order"
"The food packaging was completely destroyed during delivery.","Damaged food/packaging"
"My soup container leaked all over everything.","Damaged food/packaging"
"The pizza box was crushed and the pizza is ruined.","Damaged food/packaging"
"The bag was torn and food fell out everywhere.","Damaged food/packaging"
"My salad container broke and spilled in the bag.","Damaged food/packaging"
"The food containers were cracked and sauce leaked out.","Damaged food/packaging"
"The delivery bag was soaked and everything inside is wet.","Damaged food/packaging"
"My food arrived in damaged containers that were falling apart.","Damaged food/packaging"
"The packaging was torn open and food was spilling out.","Damaged food/packaging"
"The drink cup broke and spilled all over my food.","Damaged food/packaging"
"Food containers were crushed, contents mixed together.","Damaged food/packaging"
"The bag handles broke and food scattered on the ground.","Damaged food/packaging"
"Packaging integrity was compromised, food contaminated.","Damaged food/packaging"
"The container lids came off during transport, food everywhere.","Damaged food/packaging"
"My order arrived in completely destroyed packaging.","Damaged food/packaging"
"The food containers were so damaged the food was inedible.","Damaged food/packaging"
"Sauce containers exploded in the bag, ruining everything.","Damaged food/packaging"
"The packaging was punctured and food was exposed.","Damaged food/packaging"
"My meal containers were so damaged I couldn't eat safely.","Damaged food/packaging"
"The delivery bag was ripped and food was contaminated.","Damaged food/packaging"
"Food arrived in broken containers with contents mixed.","Damaged food/packaging"
"The packaging was so damaged it looked like it was dropped.","Damaged food/packaging"
"My order's containers were cracked and leaking everywhere.","Damaged food/packaging"
"The food packaging integrity was completely compromised.","Damaged food/packaging"
"Everything arrived in damaged, unusable containers.","Damaged food/packaging"
"The food arrived stone cold and inedible.","Cold/spoiled food"
"My hot meal was completely cold when delivered.","Cold/spoiled food"
"The food tastes spoiled and has a bad smell.","Cold/spoiled food"
"This meat seems to have gone bad, it smells off.","Cold/spoiled food"
"The food was clearly sitting out too long before delivery.","Cold/spoiled food"
"My ice cream was completely melted upon arrival.","Cold/spoiled food"
"The hot soup arrived lukewarm and unappetizing.","Cold/spoiled food"
"This food appears to be spoiled, I can't eat it.","Cold/spoiled food"
"The dairy in my order has clearly gone sour.","Cold/spoiled food"
"My food arrived at room temperature when it should be hot.","Cold/spoiled food"
"The meat tastes spoiled and has an unusual color.","Cold/spoiled food"
"This food has clearly been sitting out for hours.","Cold/spoiled food"
"The temperature of my hot meal was disappointingly cold.","Cold/spoiled food"
"My frozen items were completely thawed and warm.","Cold/spoiled food"
"The food smells rotten and appears to be spoiled.","Cold/spoiled food"
"This meal is cold and congealed, completely unappetizing.","Cold/spoiled food"
"The food arrived in poor condition, possibly spoiled.","Cold/spoiled food"
"My hot food was ice cold when it reached me.","Cold/spoiled food"
"The lettuce in my salad is wilted and brown.","Cold/spoiled food"
"This food has an off taste suggesting it's gone bad.","Cold/spoiled food"
"My meal was served cold instead of hot and fresh.","Cold/spoiled food"
"The food quality suggests it's been sitting too long.","Cold/spoiled food"
"This appears to be day-old food that's no longer fresh.","Cold/spoiled food"
"My hot entrée arrived completely cold and unpalatable.","Cold/spoiled food"
"The food arrived in a condition suggesting spoilage.","Cold/spoiled food"
"This dish has nuts but the menu didn't mention any allergens.","Undeclared allergens"
"I found shellfish in my order but it wasn't listed in ingredients.","Undeclared allergens"
"There are sesame seeds on this but no allergen warning.","Undeclared allergens"
"My dish contains dairy but it wasn't marked as such.","Undeclared allergens"
"I discovered eggs in this meal but they weren't declared.","Undeclared allergens"
"This has soy in it but the allergen information was missing.","Undeclared allergens"
"I found peanuts in my food but no allergen warning was given.","Undeclared allergens"
"This contains gluten but wasn't marked for wheat allergens.","Undeclared allergens"
"My meal has fish in it but allergens weren't properly disclosed.","Undeclared allergens"
"I'm allergic to nuts and found them in my supposedly nut-free meal.","Undeclared allergens"
"This dish contains milk products but no dairy warning.","Undeclared allergens"
"I found tree nuts in my order without any allergen notice.","Undeclared allergens"
"This has sulfites in it but wasn't declared on the menu.","Undeclared allergens"
"My meal contains mustard but no allergen information was provided.","Undeclared allergens"
"I discovered celery in this dish but it wasn't listed as an allergen.","Undeclared allergens"
"This food has sesame oil but no sesame allergen warning.","Undeclared allergens"
"I found hidden dairy ingredients that weren't declared.","Undeclared allergens"
"This contains lupin but wasn't marked for allergen information.","Undeclared allergens"
"My order has undisclosed egg products that could be dangerous.","Undeclared allergens"
"This meal has crustaceans but no shellfish allergen warning.","Undeclared allergens"
"I found wheat in my supposedly gluten-free order.","Undeclared allergens"
"This dish contains fish sauce but no fish allergen was declared.","Undeclared allergens"
"My food has undeclared nut ingredients that pose a risk.","Undeclared allergens"
"This contains soybean oil but no soy allergen warning.","Undeclared allergens"
"I found milk powder in my dairy-free order.","Undeclared allergens"
"I ordered vegan food but this clearly contains animal products.","Undeclared diet type"
"This has meat in it but I specifically ordered vegetarian.","Undeclared diet type"
"My halal meal contains pork, which violates dietary restrictions.","Undeclared diet type"
"This dish has dairy but was marked as vegan-friendly.","Undeclared diet type"
"I ordered kosher but this doesn't appear to meet those standards.","Undeclared diet type"
"This contains beef but I ordered from the vegetarian menu.","Undeclared diet type"
"My vegan pizza has real cheese instead of plant-based.","Undeclared diet type"
"This has chicken in it but was listed as a vegan option.","Undeclared diet type"
"I specifically ordered plant-based but this contains animal products.","Undeclared diet type"
"This dish has fish but was on the vegetarian menu.","Undeclared diet type"
"My dairy-free order clearly contains milk products.","Undeclared diet type"
"This has gelatin in it but was marked as vegetarian.","Undeclared diet type"
"I ordered from the vegan section but this has eggs.","Undeclared diet type"
"This contains lard but was supposed to be vegetarian-friendly.","Undeclared diet type"
"My plant-based meal has actual meat in it.","Undeclared diet type"
"This has honey but was listed as a vegan dessert.","Undeclared diet type"
"I ordered vegetarian but found bacon bits in my salad.","Undeclared diet type"
"This dish contains anchovies but was on the vegetarian menu.","Undeclared diet type"
"My vegan order has butter instead of plant-based alternatives.","Undeclared diet type"
"This has chicken broth but was marked as vegetarian.","Undeclared diet type"
"I found ham in my vegetarian sandwich order.","Undeclared diet type"
"This contains rennet but was labeled as vegetarian cheese.","Undeclared diet type"
"My dairy-free dessert clearly has milk chocolate.","Undeclared diet type"
"This has meat stock but was listed as vegan soup.","Undeclared diet type"
"I ordered plant-based but this has actual dairy cream.","Undeclared diet type"
"The delivery driver was extremely rude to me.","Problem with delivery person"
"The driver threw my food at the door and left.","Problem with delivery person"
"My delivery person was unprofessional and argumentative.","Problem with delivery person"
"The driver was aggressive when I asked about the delay.","Problem with delivery person"
"My delivery person smelled strongly of cigarettes.","Problem with delivery person"
"The driver was on his phone the entire time during delivery.","Problem with delivery person"
"My delivery person left food on the dirty ground.","Problem with delivery person"
"The driver was disrespectful and used inappropriate language.","Problem with delivery person"
"My delivery person didn't follow delivery instructions at all.","Problem with delivery person"
"The driver seemed intoxicated during the delivery.","Problem with delivery person"
"My delivery person was hostile when I couldn't find cash tip.","Problem with delivery person"
"The driver left without ensuring I received my order properly.","Problem with delivery person"
"My delivery person made inappropriate comments.","Problem with delivery person"
"The driver was impatient and rushed me during delivery.","Problem with delivery person"
"My delivery person didn't wear any protective equipment.","Problem with delivery person"
"The driver refused to bring food to my apartment door.","Problem with delivery person"
"My delivery person was unprofessional and complained about the tip.","Problem with delivery person"
"The driver arrived in a dirty, unprofessional vehicle.","Problem with delivery person"
"My delivery person ignored my special delivery requests.","Problem with delivery person"
"The driver was difficult to communicate with and seemed frustrated.","Problem with delivery person"
"My delivery person didn't handle my food with care.","Problem with delivery person"
"The driver left my food in an unsafe location.","Problem with delivery person"
"My delivery person was unpunctual and offered no explanation.","Problem with delivery person"
"The driver seemed to be eating from my order during delivery.","Problem with delivery person"
"My delivery person was unprofessional in appearance and behavior.","Problem with delivery person"
"The website keeps crashing when I try to place an order.","Website problem"
"I can't complete my payment, the checkout page won't load.","Website problem"
"The app freezes every time I try to add items to cart.","Website problem"
"Your website is showing error messages and won't let me order.","Website problem"
"I can't log into my account, password reset isn't working.","Website problem"
"The mobile app crashes whenever I open the menu.","Website problem"
"Your payment system charged me twice for the same order.","Website problem"
"I can't update my delivery address in the app.","Website problem"
"The website won't accept my valid promo code.","Website problem"
"Your checkout process is broken and keeps timing out.","Website problem"
"I can't view my order history on the website.","Website problem"
"The app shows error 500 when I try to track my order.","Website problem"
"Your website redirects me to a blank page during checkout.","Website problem"
"I can't modify my order after placing it due to website issues.","Website problem"
"The search function on your app isn't working properly.","Website problem"
"Your website logged me out and won't let me back in.","Website problem"
"I'm getting database errors when trying to place an order.","Website problem"
"The app won't load the restaurant menu pages.","Website problem"
"Your website's map feature for delivery isn't functioning.","Website problem"
"I can't save my favorite orders due to a website bug.","Website problem"
"The payment page shows SSL certificate errors.","Website problem"
"Your app keeps asking me to verify my phone number repeatedly.","Website problem"
"The website cart empties itself before I can checkout.","Website problem"
"I'm experiencing constant timeout errors on your platform.","Website problem"
"Your website's order confirmation page won't display properly.","Website problem"
